"","Unknown","Eubacterium","Prevotella","Ruminococcus","Acidaminococcus","Acinetobacter","Actinomyces","Adlercreutzia","Akkermansia","Aliivibrio","Alistipes","Alloiococcus","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Bulleidia","Butyricimonas","Campylobacter","cc_115","Christensenella","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Desulfovibrio","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Faecalibacterium","Finegoldia","Fusobacterium","Granulicatella","Haemophilus","Holdemania","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Megamonas","Mogibacterium","Neisseria","Odoribacter","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Parvimonas","Pediococcus","Phascolarctobacterium","Polaromonas","Porphyromonas","Prevotella.1","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Roseburia","Ruminococcus.1","Sarcina","SMB53","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella","HigherGenus"
"SC253197-PC04925-G-07",0.0926223741079505,0.000150768921499648,0,0.0148758669212986,0,0,0.000100512614333099,0,0.1144838677254,0,0,0,0,0,0.00175897075082923,0.000100512614333099,0,0.0555834757262036,0,0.00336717258015881,0.0273394310986029,0,0,0,0,0,0,0.00241230274399437,0.00216102120816162,0,0.0552316815760378,0,0,0,0,0.0155794552216303,0.00502563071665494,0.000100512614333099,0,0,0.0158307367574631,0.205598552618354,0,0,0.000201025228666198,0.000100512614333099,0.00120615137199719,0,0.0129158709418032,0.000402050457332395,0.000100512614333099,0,0,0,0,0,0.000150768921499648,0.0220625188461152,0.00150768921499648,0,0.00778972761081516,0,0,0.00884511006131269,0,0,0,0,0,0,0,0.080862398230978,0.0946828827017791,0,0,0,0.0112574128053071,0,0,0,0.000150768921499648,0.145441752939994
"SC253197-PC04925-H-07",0.0846869499622831,0.000100578325370883,0,0.0155896404324868,0,0,0,0,0.112396278601961,0,0,0,0,0,0.00266532562232839,0.000201156650741765,0,0.0575810912748303,0,0.00296706059844104,0.0333417148604476,0,0,0,0,0,0,0.00226301232084486,0.00191098818204677,0,0.0520995725421172,0,0,0,0,0.0134272064370128,0.00563238622076942,0,0,0,0.0137792305758109,0.202011566507418,0,0,0.000100578325370883,5.02891626854413e-05,0.000905204928337943,0.000201156650741765,0.0164445561981393,0.000553180789539854,0.000100578325370883,0,0,0,0,0,0.000150867488056324,0.020165954236862,0.00125722906713603,0,0.00683932612522002,0,0,0.0103092783505155,0,0,0,0,0,0,0,0.0948956499874277,0.0954488307769676,0,0,0,0.0116167965803369,0,0,0,0,0.140306763892381
"SC253199-PC04925-A-08",0.0995777621393385,0.000150799235950538,0,0.0131195335276968,0,0,0.000100532823967025,0,0.0970141751281794,0,0,0,0,0,0.00251332059917563,0.00020106564793405,0,0.0939981904091686,0,0.00316678395496129,0.0237760128682015,0,0,0,0,0,5.02664119835126e-05,0.0020106564793405,0.00130692671157133,5.02664119835126e-05,0.0569015783653363,0,0,0,0,0.0126168694078617,0.00321705036694481,0,0,0,0.0122147381119936,0.226299386749774,0,0,0,5.02664119835126e-05,0.00105559465165376,0.000150799235950538,0.0111088770483563,0.000402131295868101,0.000100532823967025,0,0,0,0,0,0.000301598471901076,0.0185483060219162,0.00125666029958782,0,0.0095506182768674,0,0,0.00743942897355987,0,0,0,0,0,0,0,0.0992761636674374,0.071880969136423,0,0,0,0.00804262591736202,0,0,0,0.000150799235950538,0.122398713179853
"SC253199-PC04925-B-08",0.103930043220424,0.000100512614333099,0,0.0138707407779676,0,0,0,0,0.0835259825108051,0,0,0,0,0,0.00266358427982712,0.000251281535832747,5.02563071665494e-05,0.0994069755754347,0,0.00346768519449191,0.0253794351191074,0,0,0,0,0,0,0.00190973967232888,0.00160820182932958,5.02563071665494e-05,0.0595034676851945,0,0,0,0,0.0138707407779676,0.00331691627299226,0,0,0,0.0135189466278018,0.216654940194994,0,0,0,0,0.00100512614333099,0.000251281535832747,0.013719971856468,0.000251281535832747,0.000100512614333099,0,0,0,0,0,0.000351794150165846,0.0193486782591215,0.00150768921499648,0,0.010704593426475,0,0,0.00949844205447784,0,0,0,0,0,0,0,0.0924716051864509,0.064127047944517,0,0,5.02563071665494e-05,0.00894562267564579,0,0,0,0,0.134586390592019
"SC253199-PC04925-E-11",0.105040960948887,0.000150776498969694,0,0.0138714379052118,0,0,0.000150776498969694,0,0.0781524852992913,0,0,0,0,0,0.00296527114640398,0,0,0.0985073126602,0,0.00407096547218174,0.0219631100165854,0,0,0,0,0,0,0.00190983565361612,0.00155802382268684,0,0.0603608584208675,0,0,0,0,0.0129667789113937,0.00407096547218174,0,0,0,0.0125144494144846,0.213047193044178,0,0,0.000150776498969694,5.0258832989898e-05,0.000954917826808061,0.000201035331959592,0.0148766145650098,0.000452329496909082,5.0258832989898e-05,0,0,0,0,0,0.000201035331959592,0.0215610393526662,0.00160828265567674,0,0.0105543549278786,0,0,0.0099009900990099,0,0,0,0,0,0,0,0.0981555008292707,0.068000201035332,0,0,0,0.00854400160828266,0,0,0,5.0258832989898e-05,0.133386942755189
"SC253200-PC04925-C-08",0.170368513411883,0.000200551516670845,0,0.00185510152920531,0,0,0,0,0.301729756831286,0,0.000501378791677112,0,0.000100275758335422,0.000150413637503134,0,0,5.01378791677112e-05,0.208272750062672,0,0.00300827275006267,0.00797192278766608,0,0,0.000100275758335422,0,0,0,0.000651792429180246,0,0,0.00195537728754074,0,0,0,0,0,0.000451240912509401,0,0,0,0.000250689395838556,0.000300827275006267,0,0,0,0,0.00040110303334169,0.0040110303334169,0.000200551516670845,0.000100275758335422,0,0,0,0,0,0,0,0.00456254700426172,0,0,0.00561544246678366,0,0,0.000100275758335422,0,0,0,0,0,0.000250689395838556,0,0.0114815743294059,0.0888443218851843,0,0,5.01378791677112e-05,0,0.00721985460015041,0.00125344697919278,0,0,0.177989471045375
"SC253201-PC04925-D-08",0.102261306532663,0,0,0.00949748743718593,0,0,0.000100502512562814,0,0.0798492462311558,0,0,0,0,0,0.00185929648241206,0.000251256281407035,0,0.107236180904523,0,0.00311557788944724,0.0208040201005025,0,5.0251256281407e-05,0,0,0,0,0.00206030150753769,0.00185929648241206,0,0.0404020100502513,0,0,0,0,0.0168844221105528,0.00316582914572864,0,0,0,0.00839195979899498,0.196633165829146,0,0,0.000150753768844221,0,0.00110552763819095,0.000100502512562814,0.0147738693467337,0.000351758793969849,0,0,0,0,0,0,0.000251256281407035,0.0227638190954774,0.00135678391959799,0,0.0115075376884422,0,0,0.01,0,0,0,0,0,0,0,0.0995979899497487,0.0838190954773869,0,0,0,0.00874371859296482,0,0,0,0.000150753768844221,0.150904522613065
"SC253201-PC04925-E-08",0.0980402010050251,5.0251256281407e-05,0,0.0103015075376884,0,0,0.000150753768844221,0,0.0774371859296482,0,0,0,0,0,0.00261306532663317,0.000251256281407035,0,0.095929648241206,0,0.00311557788944724,0.0208040201005025,0,0,0,0,0,0,0.00231155778894472,0.00165829145728643,0,0.0383417085427136,0,0,0,0,0.0158793969849246,0.00346733668341709,0,0,0,0.00814070351758794,0.19643216080402,0,0,0,0,0.000804020100502513,0.000150753768844221,0.0153266331658291,0.000301507537688442,5.0251256281407e-05,0,0,0,0,0,0.000251256281407035,0.0229145728643216,0.00135678391959799,0,0.0104522613065327,0,0,0.0120100502512563,0,0,0,0,0,0,0,0.127939698492462,0.081105527638191,0,0,0,0.00824120603015075,0,0,0,0,0.144170854271357
"SC253203-PC04925-G-08",0.0923563680192849,0,0,0.0166733627963037,0,0,0,0,0.135245078344717,0,0,0,0,0,0.00396745680996384,0.000100441944556047,0,0.0823121735636802,0,0.00426878264363198,0.034501807955002,0,0,0,0,0,0,0.00246082764162314,0.00256126958617919,0,0.0467055042185617,0,0,0,0,0.0113499397348333,0.00492165528324628,5.02209722780233e-05,0,0,0.00778425070309361,0.199829248694255,0,0,0,0.00015066291683407,0.000954198473282443,0.000100441944556047,0.010797509039775,0.00045198875050221,0.00015066291683407,0,0,0,0,0,0.000251104861390117,0.0152169546002411,0.00140618722378465,0,0.0096926476496585,0,0,0.00572519083969466,0,0,0,0,0,0,0,0.0890417838489353,0.0812073121735637,0,0,0,0.0163720369626356,0,0,0,0,0.123392928887103
"SC253203-PC04925-H-08",0.088894472361809,5.0251256281407e-05,0,0.0149246231155779,0,0,0,0,0.13427135678392,0,0,0,0,0,0.00366834170854271,0.000201005025125628,0,0.0796984924623116,0,0.00336683417085427,0.0297989949748744,0,0,0,0,0,0,0.00261306532663317,0.00281407035175879,0,0.050251256281407,0,0,0,0,0.0125628140703518,0.00542713567839196,0,0,0,0.00708542713567839,0.216231155778894,0,0,0.000100502512562814,0.000100502512562814,0.000904522613065327,0,0.0111557788944724,0.000351758793969849,0.000201005025125628,0,0,0,0,0,0.000201005025125628,0.0164824120603015,0.00155778894472362,0,0.00979899497487437,0,0,0.00663316582914573,0,0,0,0,0,0,0,0.0780402010050251,0.0825628140703518,0,0,0,0.0158291457286432,0,0,0,0.000100502512562814,0.124120603015075
"SC253200-PC07578-C-08",0.184152457372116,0.000401203610832497,0,0.00180541624874624,0,0,0,0,0.235757271815446,0,0.000601805416248746,0,0.000100300902708124,0.000100300902708124,0,0,0.000150451354062187,0.224022066198596,0,0.00295887662988967,0.00787362086258776,0,0,0.000150451354062187,0,0,0,0.000702106318956871,0,0,0.00235707121364092,0,0,0,0,0,0.000551654964894684,0,0,0.000150451354062187,0.000702106318956871,0.000702106318956871,0,0,0,0,0.000401203610832497,0.00516549648946841,0.000300902708124373,0.000250752256770311,0,0,0,0,0,0,0,0.00491474423269809,5.01504513540622e-05,0,0.00692076228686058,0,0,5.01504513540622e-05,0,0,0,0,0.000100300902708124,0.000150451354062187,0,0.013691073219659,0.101203610832497,0,0,0.000401203610832497,0,0.00661985957873621,0.00135406218655968,0,0,0.19518555667001
"SC253201",0.107946554149086,0,0,0.0097448262005224,0,0,0,0.000200924251557163,0.0701225637934499,0,0,0,0,0,0.00266224633313241,0.000150693188667872,0,0.103023909985935,0,0.00336548121358248,0.020393811533052,0,0,0,0,0,0,0.00256178420735383,0.000954390194896524,0,0.040436005625879,0,0,0,0,0.0161241711874623,0.00376732971669681,0,0,0,0.00753465943339361,0.200673096242717,0,0,5.02310628892907e-05,5.02310628892907e-05,0.000753465943339361,0,0.0156218605585694,0.000150693188667872,0.000100462125778581,0,0,0,0,0,0.000251155314446454,0.0232569821177416,0.00125577657223227,0,0.0115531444645369,0,0,0.0105987542696403,0,0,0,0,0,0,0,0.100060277275467,0.0870504319871409,0,0,0,0.00909182238296162,0,0,5.02310628892907e-05,0.000100462125778581,0.150341571227647
"SC553006",0.109765291249937,0.00075388249484847,0,0.00336734181032316,0,0,0,0,0.200985073126602,0.0325677237774539,0,0,0,0,0.000351811830929286,0.00216112981856561,0,0.207166909584359,0.000904658993818164,0.000100517665979796,0.0303060762929085,0,0,0,0,0,0,0.00125647082474745,0,0.002462682816505,0.0360355832537568,0,0.00100517665979796,0,0.00150776498969694,0.00969995476705031,0.00964969593406041,0.000351811830929286,0,0,0.00155802382268684,0.0362868774187063,0,0,0,0,0,0,0.0123636729155149,0.00115595315876765,0,0,0,0,0,0,0.00120621199175755,0.0584007639342614,0.00366889480826255,0,0.0283962406392924,0,0,0.000402070663919184,0,0,0.0134693672412927,0,0,0,0,0.0183947328743027,0.0571945519425039,0.00145750615670704,5.0258832989898e-05,0,0.00211087098557571,0,0.0383977484042821,0.00216112981856561,0,0.072925566668342
"SC553008",0.0960024075838893,0.000351105983849125,0,0.0420324020665095,0,0,0,0,0.00431358780157496,0.0103325475247028,0.000351105983849125,0,0,0,0.00285900586848573,0,0,0.401163665546471,0,0,0.0689672468275066,0,0,0,0,0,0,0,0.000702211967698249,0,0.0557255354366254,0,0.000100315995385464,0,0,0,0.0137432913678086,0,0,0,0.000250789988463661,0.0733309926267743,0,0,0,0,0.000300947986156393,0,0.0188594071324673,0,0,0,0,0,0,0,0,0.00461453578773135,0,0,0.0026583738777148,0,0,0.0082760696193008,0,0,0.000300947986156393,0,0,0,0,0.0534182675427597,0.00341074384310578,0,0.000250789988463661,0,0.00772433164468074,0,0,0.000100315995385464,0,0.129859056026483
"SC553010",0.0943178395743399,0,0,0.0120971789980926,0,0,0,0,0.000803132215641,0.00336311615299669,0,0,0,0,0.000803132215641,0,0.00155606866780444,0.0876919987953017,0.00266037546431081,5.01957634775625e-05,0.0229896596727236,0,0,0,0.00286115851822106,0,0,0.00100391526955125,0.000351370344342937,0,0.0346852725629957,0,0.000150587290432687,0,0,0.0346350767995181,0.00386507378777231,0,0.002409396646923,0,0.000351370344342937,0.113091055114948,0,0.000250978817387812,0.000501957634775625,0,0,0,0.0106916976207208,0.0390021082220661,0,0.000752936452163437,0,0.000150587290432687,0,0.00220861359301275,0,0.00532075092862162,0,0,0.021684569822307,0.000451761871298062,0,0.00020078305391025,0,0,0.380132516815581,0,0,0,0,0.0284609978917779,0.0111936552554964,0,0.00145567714084931,0,0.00140548137737175,0,0.0105411103302881,0,0,0.065856841682562
"SC553015",0.106590315451075,0,0,0.00592726542093631,0.000401848503114326,0,0,0,0.0253164556962025,0.0016073940124573,0,0,0,0,0,0.000150693188667872,0,0.326552139843279,0,0.000301386377335744,0.0760498292143862,0,0,0.000904159132007233,0,0,0,0.0110006027727547,0,0,0.0291842475386779,0,0,0.000150693188667872,0,0,0.0115029134016476,0,0,0.00120554550934298,0,0.0557564798071127,0,0,0,0,0,0.00100462125778581,0.0159734779987945,0.000351617440225035,0.000150693188667872,0,0.000502310628892907,0,0,0,0.00296363271046815,0.00477195097448262,0.000251155314446454,0,0.0184348000803697,0,0,0.00396825396825397,0,0,0.000853928069117942,0,0,0,0,0.032650190878039,0.0999095840867993,0,0,0,0.00070323488045007,0,0.00452079566003617,0,0,0.160387783805505
