"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC249358","  24","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2166"," 177"," 304","  60","   0","   0","   0","   0","   0","   0","   4"," 782"," 573","   0","   0","   0","   0","   0","   0","   3","   6","   0","   0"," 468","2082","   0"," 103","4675","   0","   0","3642","   0","   0","   0","  12"," 361","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0"," 637","2497","   0","   0"," 544","   3","   0","   0","   0","   0","   0","  65"," 487","   0"," 101","   0","   0"," 171","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0"
"SC249362-PC04924-E-01","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3045","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1921","4205","   0","   0","   2","   0","   0","6522","   0","   0","   0","   0","2636","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 483","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","1171","   0","   0","   0","   0","   0"
"SC249363"," 136","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2006"," 288"," 436","   0","   0","   0","   0","   0","   0","   0","   2"," 697"," 443","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 315","2258","   0","   0","4965","   0","   0","2016","   0","   0","   0","   0"," 809","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 690","3513","   0","   0"," 438","   0","   0","   0","   0","   0","   0"," 132"," 841","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249368-PC04924-B-02","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1700","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1315","4912","   0","   0","   1","   0","   0","6836","   0","   0","   0","   0","3698","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 676","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 857","   0","   0","   0","   0","   0"
"SC249383"," 281","   0","   0","   0","   0"," 143","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","2305","  79"," 511","  72","   0","   0","   0","   0","   0","   0","   3"," 555"," 256","   0","   0","   0","   0","   0","   0","   9","   5","   0","   0"," 265","2578","   0"," 250","4020","   0","   0","3330","   0","   0","   0","  16"," 357","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  23","   3"," 765","2712","   0","   0"," 362","  10","   0","   0","   0","   0","   5"," 106"," 583","   0"," 204","   0","   0"," 126","   0","   0","   0","   0","   8","   4","   0","   0","   0","   0"
"SC249388"," 140","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2060"," 121"," 463","  16","   0","   0","   0","   0","   0","   0","   0"," 787"," 227","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0"," 285","3366","   0"," 164","3875","   0","   0","2771","   0","   0","   0","  14"," 299","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0"," 764","3365","   0","   0"," 389","   5","   0","   0","   0","   0","   0","  80"," 570","   0","  85","   0","   0","  83","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249390","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","1421","  30","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1056","4734","   0","  35","   3","   0","   0","7003","   0","   0","   0","   0","3374","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0"," 534","   0","   1","   0","   0","   0","   0","  11","   0","   0","   0","   0","1750","   0","   0","   0","   0","   0"
"SC249391-PC04924-D-03","  12","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","1140","  30","   0","   2","  12","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1011","4559","   0","  40","   2","   0","   0","6760","   0","   0","   0","   0","4411","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0"," 498","   0","   0","   0","  16","   0","   0","  22","   0","   0","   0","   0","1444","   0","   0","   0","   0","   0"
"SC249393","2114","   0","   0","   0","   0","1170","   0","   1","   0","   0","   0","  25","   0","   0","   1","   2","3467","   0","  34","1004","   0","   0","   0","   0","   0","  37","   4","   0","1137","   0","   0","   0","   0","   0","   0","  75","  50","   0","   0","   0"," 119","   2","2515","   2","   0","   2","2767","  10","   0","   7"," 317","   3","   0","   0","   0","   0","   2","   0","   0","   0","   0","   7","   0"," 391","  19","   0"," 234","   2","   0","   0","  99","   0","   0","   0","   0","   1","   0","   0","   0","2194","   0","   0","1987","   0","   0","   3","   0","   0","  77","  16","   5","   0","   0"
"SC249408-PC04924-C-05","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1213","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 707","4469","   0","   0","   0","   0","   0","6436","   0","   0","   0","   0","3600","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2788","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0"," 776","   0","   0","   0","   0","   0"
"SC249409"," 122","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1997","  88"," 741","   0","   0","   0","   0","   0","   0","   0","  16"," 472"," 455","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 195","2877","   0","   1","3976","   0","   0","2689","   0","   0","   0","   0"," 266","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 680","3463","   0","   0"," 206","   0","   0","   0","   0","   0","   0","  77","1658","   0","   2","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0"
"SC249412","  24","   0","   0","   0","   0","  17","   0","   0","   0","   0","   0","   0","   0","   0","   0","1043","  52","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 732","4155","   0","  26","   0","   0","   0","6148","   0","   0","   0","  15","4022","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","2853","   0","   0","   0","  15","   0","   0","  21","   0","   0","   0","   0"," 828","   3","   0","   0","   0","   0"
"SC249413"," 210","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1943","  96"," 880","   0","   0","   0","   0","   0","   0","   0","  11"," 594"," 492","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 119","2753","   0","   2","4187","   0","   0","2071","   0","   0","   0","   0"," 728","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 889","3158","   0","   0"," 162","   0","   0","   0","   0","   0","   1"," 156","1529","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249415","2462","   0","   0","   0","   0","1580","   0","   0","   0","   0","   0","  41","   0","   0","   0","   5","3363","   0","  69"," 663","   0","   0","   0","   0","   0","  23","   7","   0"," 631","   0","   0","   0","   0","   0","   0"," 222","  76","   0","   0","   6"," 635","   0","1782","   0","   0","   6","3451","  12","   0","   0"," 503","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 346","  27","   0"," 374","   0","   0","   0"," 176","   0","   0","   0","   0","   5","   0","   0","   0","1651","   0","   0","1724","   0","   0","   0","   0","  10","  57","   0","   0","   0","   1"
"SC249420-PC04924-G-06","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1244","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 552","4695","   0","   0","   0","   0","   0","6988","   0","   0","   0","   0","3647","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2187","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 680","   0","   0","   0","   0","   0"
"SC249425","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1204","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 704","4533","   0","   0","   0","   0","   0","6451","   0","   0","   0","   0","3633","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2639","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 825","   0","   0","   0","   0","   0"
"SC249427"," 164","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1985"," 106"," 877","   0","   0","   0","   0","   0","   0","   0","   5"," 584"," 452","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 124","2686","   0","   0","4325","   0","   0","2229","   0","   0","   0","   0"," 711","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 831","3050","   0","   0"," 120","   0","   0","   0","   0","   0","   3"," 140","1595","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249428"," 154","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","2159"," 107"," 851","   0","   0","   0","   0","   0","   0","   0","  10"," 624"," 454","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 103","2440","   0","   4","4772","   0","   0","2020","   0","   0","   0","   0"," 466","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 650","3293","   0","   0"," 168","   0","   0","   0","   1","   0","   1"," 142","1548","   0","   7","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249432-PC04924-A-08","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","2512","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1914","2123","   0","  21","   0","   0","   0","6821","   0","   0","   0","   0","1164","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","1332","   0","   0","   0","   7","   0","   0","  27","   0","   0","   0","   0","4056","   0","   0","   0","   0","   0"
"SC249434"," 172","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","1515"," 406","1078","   9","   0","   0","   0","   0","   0","   0"," 102"," 300"," 234","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1118","1928","   0","  28","3728","   0","   0","1892","   0","   0","   0","   0","1524","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0"," 416","2321","   0","   0","1382","   0","   0","   0","   0","   3","   0"," 459","1318","   0","  17","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC249437-PC04924-F-08","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3630","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2144","1831","   0","   0","   0","   0","   0","6146","   0","   0","   0","   0","1002","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1149","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4093","   0","   0","   0","   0","   0"
"SC249438"," 897","   0","   0","   0","   0"," 474","   0","   0","   0","   0","   0","  28","   0","   0","   0","   4"," 287","   0","  18","2269","   0","   0","   0","   0","   0","  32","  27","   2","1503","   0","   0","   0","   0","   0","   0","  72"," 193","   0","   0","   8","  90","   0","3483","   2","   0","   0","2815","   0","   0","   0"," 148","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 172","   4","   0","  30","   0","   0","   0","  22","   0","   0","   0","   0","   2","   0","   0","   0","2566","   0","   0","4666","   0","   0","   0","   0","   7","  96","   0","   0","   0","   0"
"SC249439-PC04924-H-08"," 345","   0","   0","   0","   0"," 274","   0","   0","   0","   0","   0","   8","   0","   0","   0","  48","1282"," 343"," 700"," 258","   0","   0","   0","   0","   0","   5"," 106"," 234"," 613","   0","   0","   0","   0","   0","   0","  14","  23","   0","   0","1054","1541","   0","1205","2707","   0","   0","1895","   0","   0","   0","  39"," 526","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  63","   0"," 374","1877","   0","   0","1196","   8","   0","   0","   0","   3","  12"," 109","1026","   0"," 328","   0","   0","1648","   0","   0","   0","   0","  65","   8","   0","   0","   0","   0"
"SC249442","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3843","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","2181","2416","   0","  15","   0","   0","   0","5861","   0","   0","   0","   0"," 907","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","1555","   0","   0","   0","  12","   0","   0","  12","   0","   0","   0","   0","3162","   0","   0","   0","   0","   0"
"SC249443-PC04924-D-09"," 230","   0","   0","   0","   0","  46","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 142","1021"," 500"," 680"," 504","   0","   0","   0","   0","   0","   8"," 214"," 235"," 540","   0","   0","   0","   0","   0","   0","   0","  49","   0","   0","1912","1843","   0"," 526","2369","   0","   0","2134","   0","   0","   0","   4"," 794","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  17","   0"," 271","1738","   0","   0","1820","   0","   0","   0","   0","   2","  40"," 152","1055","   0"," 496","   0","   0"," 419","   0","   0","   0","   0"," 156","  24","   0","   0","   0","   0"
"SC249446"," 605","   0","   0","   0","   0"," 321","   0","   0","   0","   0","   0","  14","   0","   0","   0","   9","1028"," 125"," 542","1194","   0","   0","   0","   0","   0","  19"," 163"," 145"," 850","   0","   0","   0","   0","   0","   0","  28"," 112","   0","   0","1448","1512","   0","1666","1691","   0","   0","2310","   4","   0","   3","  14"," 152","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  73","   0"," 230","1044","   0","   0","1112","   8","   0","   0","   0","   0","   2","  47"," 770","   0","1091","   0","   0","1513","   0","   0","   0","   0","  12","  65","   0","   0","   0","   0"
"SC249451-PC04924-C-10","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3639","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","2235","2372","   0","   9","   0","   0","   0","5973","   0","   0","   0","   0"," 895","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1539","   0","   0","   0","   0","   0","   0","   9","   0","   0","   0","   0","3309","   0","   0","   0","   0","   0"
"SC253844","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1567","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 792","4968","   0","   6","   0","   0","   0","7193","   0","   0","   0","   0","3315","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 925","   0","   0","   0","   5","   0","   0","   3","   0","   0","   0","   0","1216","   0","   0","   0","   0","   0"
"SC253848","  97","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1370"," 375"," 574","   0","   0","   0","   0","   0","   0","   0","   0"," 670"," 391","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 202","1681","   0","   2","5519","   0","   0","1809","   0","   0","   0","   0","2981","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 500","2513","   0","   0"," 268","   0","   0","   0","   0","   2","   0"," 523"," 512","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC253851","  86","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2056"," 284"," 579","   0","   0","   0","   0","   0","   0","   0","   0"," 730"," 439","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 440","2437","   0","   0","4514","   0","   0","2657","   0","   0","   0","   0"," 669","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0"," 648","2946","   0","   0"," 513","   0","   0","   0","   0","   1","   0"," 124"," 863","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"
"SC253854","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","2284","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1144","4145","   0","   0","   0","   0","   0","6479","   0","   0","   0","   0","2932","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 899","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","2108","   0","   0","   0","   0","   0"
"SC249387-PC04925-G-01","2131","   0","   0","   0","   0"," 610","   0","   0","   0","   0","   0","  26","   3","   0","   0","   0","2715","   8","  57"," 803","   0","   0","   0","   0","   0","  28","   5","  51","1188","   0","   0","   0","   0","   0","   1","  79","  55","   0","   0","  21"," 313","   2","3198"," 230","   1","   0","2502","  15","   1","   3"," 396","  20","   0","   0","   0","   0","   2","   0","   0","   1","   0","  13","   0"," 401","  22","  56"," 377","   1","   0","  17"," 127","   0","   2","   0","   0","   0","   4","  36","   0","2484","   0","   0","1768","   0","   0","   1","   3","   1"," 101","   0","   0","   0","   0"
"SC249391-PC04925-H-01","  18","   0","   0","   0","   0","  15","   0","   0","   0","   0","   0","   0","   0","   0","   0","1145","  50","   0","   0","  14","   0","   0","   0","   0","   0","   0","   0","   1","   7","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 853","4719","   0","  41","   0","   0","   0","7031","   0","   0","   0","   3","3941","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   6","   0","   0","   0","   3","   0","   0","   0","   0"," 523","   0","   0","   0","  20","   0","   0","  17","   0","   0","   0","   0","1565","   1","   0","   0","   0","   0"
"SC249408-PC04925-E-02","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1178","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 658","4661","   0","   6","   1","   0","   0","6580","   0","   0","   0","   0","3048","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2978","   0","   0","   0","  12","   0","   0","   8","   0","   0","   0","   0"," 846","   0","   0","   0","   0","   0"
"SC249432-PC04925-B-04","   2","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","3667","   2","   0","   0","   5","   0","   0","   0","   0","   0","   1","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1640","2143","   0","  17","   0","   0","   0","6424","   0","   0","   0","   0","1217","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1279","   0","   0","   0","   0","   0","   0","  22","   0","   0","   0","   0","3555","   1","   0","   0","   0","   0"
"SC249437-PC04925-F-04","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","3180","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1780","2293","   0","   3","   0","   0","   0","5810","   0","   0","   0","   0","1059","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1204","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4662","   0","   0","   0","   0","   0"
"SC249444"," 919","   0","   0","   1","   0"," 479","   0","   0","   0","   0","   0","  32","   0","   0","   0","  70"," 186","   3","   7","3317","   0","   0","   0","   0","   0","  48"," 102","   6","1936","   0","   0","   0","   0","   0","   0","  56"," 241","   3","   0","  41","  73","   2","2926","   3","   0","   0","3288","   6","   0","   2","  41","  33","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 140","   3","   0","  19","   0","   0","   0","  17","   0","   0","   0","   0","  13","   0","   0","   0","2645","   0","   0","2973","   0","   0","   4","   0","  74"," 196","   0","   0","   0","   0"
"SC253181-PC04925-G-05","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","2301","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1413","3442","   0","   0","   0","   0","   0","6462","   0","   0","   0","   0","3353","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1794","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1227","   0","   0","   0","   0","   0"
"SC253185","  94","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","1790"," 125"," 721","   2","   0","   0","   0","   0","   0","   0","   0"," 790"," 284","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 301","3228","   0","   5","3620","   0","   0","2516","   0","   0","   0","   0"," 282","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 938","2376","   0","   0"," 325","   0","   0","   0","   0","   0","   0","  89","2477","   0","   3","   0","   0","   3","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"SC253189","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","2757","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1341","3180","   0","   1","   0","   0","   0","6219","   0","   0","   0","   0","3318","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1733","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","1439","   0","   0","   0","   0","   0"
"SC253191","2483","   0","   0","   0","   0","1464","   0","   0","   0","   0","   0","  60","  12","   0","   0","   0","3105","   0","  34"," 787","   0","   0","   0","   0","   0","  22","  39","   0"," 959","   0","   0","   0","   0","   0","   0"," 161","  67","   0","   0","   0"," 147","   0","1960","   0","   0","   0","3218","   0","   0","   6"," 772","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0"," 250","  34","   0"," 341","   0","   0","   0"," 138","   0","   0","   0","   0","   0","   0","   0","   0","1574","   0","   0","2178","   0","   0","   0","   0","   0"," 123","   0","   0","   0","   0"
"SC253192"," 180","   0","   0","   0","   0","  31","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2039"," 142"," 772","   0","   0","   0","   0","   0","   0","   0","  35"," 538"," 373","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 699","2476","   0","   2","3291","   0","   0","2460","   0","   0","   0","   0"," 326","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 905","2746","   0","   0"," 732","   0","   0","   0","   0","   0","   1","  88","2110","   0","   7","   0","   0","  17","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0"
"SC253194","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","2212","   9","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2043","2798","   0","   8","   0","   0","   0","6403","   0","   0","   0","   0","2308","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1272","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","2901","   0","   0","   0","   0","   0"
