"","Unknown","Acidaminococcus","Acinetobacter","Actinomyces","Agrobacterium","Akkermansia","Aliivibrio","Alistipes","Alkanindiges","Anaerofilum","Anaerofustis","Anaerostipes","Anaerotruncus","Atopobium","Azospirillum","Bacillus","Bacteroides","Bifidobacterium","Bilophila","Blautia","Bradyrhizobium","Butyricimonas","Campylobacter","Capnocytophaga","cc_115","Clostridium","Collinsella","Coprobacillus","Coprococcus","Corynebacterium","Cryocola","Dehalobacterium","Deinococcus","Desulfovibrio","Devosia","Dialister","Dorea","Eggerthella","Eikenella","Enterococcus","Escherichia","Eubacterium","Faecalibacterium","Fusobacterium","Granulicatella","Haemophilus","HigherGenus","Holdemania","Jeotgalicoccus","Lachnobacterium","Lachnospira","Lactobacillus","Lactococcus","Leptotrichia","Leuconostoc","Lysobacter","Massilia","Megamonas","Mycobacterium","Mycoplana","Neisseria","Odoribacter","Oribacterium","Oscillospira","Oxalobacter","Paenibacillus","Parabacteroides","Paracoccus","Parvimonas","Pediococcus","Phascolarctobacterium","Phenylobacterium","Pleomorphomonas","Prevotella","Propionibacterium","Pseudomonas","Pyramidobacter","Ralstonia","Rhodoferax","Roseburia","Rothia","Rubellimicrobium","Ruminococcus","Sarcina","Slackia","SMB53","Sphingomonas","Staphylococcus","Streptococcus","Succiniclasticum","Sutterella","Turicibacter","Veillonella"
"SC253195-PC04925-E-07"," 131","   0","   0","   0","   0","  24","   0","   0","   0","   0","   0","   0","   0","   0","   0","   8","1454"," 441"," 584","  16","   0","   0","   0","   0","   0","   0","  78"," 528"," 405","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0"," 762","2166","   0"," 143","4449","   0","   0","2342","   0","   0","   0","   5"," 462","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   6","   0"," 880","2455","   0","   0"," 610","   1","   0","   0","   0","   2","   4"," 110","1694","   0","  33","   0","   0"," 137","   0","   0","   0","   0","   9","   7","   0","   0","   0","   0"
"SC253196-PC04925-F-07","  11","   0","   0","   0","   0","  19","   0","   0","   0","   0","   0","   0","   0","   0","   0","3219","  13","   0","   1","   4","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","1715","2927","   0","  43","   1","   0","   0","6430","   0","   0","   0","   3","2142","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   1","   0","   0","   0","   0","1409","   0","   0","   0","  23","   0","   0","  29","   0","   0","   0","   0","1966","   2","   0","   0","   0","   0"
"SC253204"," 210","   0","   0","   0","   0","  51","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","1524"," 306"," 879","  37","   0","   0","   0","   0","   0","   0","  55"," 501"," 294","   4","   0","   0","   0","   0","   0","   5","   4","   0","   0"," 896","2231","   0"," 158","3629","   0","   0","2907","   0","   0","   0","  10"," 319","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0"," 876","2255","   0","   0"," 828","   5","   0","   0","   0","   0","   0"," 108","1625","   0"," 101","   0","   0","  95","   0","   0","   0","   0","   9","  16","   0","   0","   0","   0"
"SC261525-PC04925-D-10","2385","   0","   0","   0","   0","2355","   0","   0","   0","   0","   0","  41","   4","   0","   0","   1","3542","   0","  70"," 554","   0","   0","   0","   0","   0","  22","  15","   0"," 635","   0","   0","   0","   0","   0","   0"," 311","  62","   0","   0","   3"," 756","   0","1994","   0","   0","   5","2716","  27","   0","   4"," 527","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0"," 321","  40","   0"," 327","   0","   0","   0"," 215","   0","   0","   0","   0","   3","   0","   0","   0","1252","   0","   0","1596","   0","   0","   3","   0","   2","  79","   0","   0","   0","   0"
"SC261529-PC04925-F-10"," 812","   0","   0","   0","   0"," 447","   0","   0","   0","   0","   0","  63","   0","   0","   0","  26"," 342","   0","  14","2196","   0","   0","   0","   0","   0","  42","  54","   0","1421","   0","   0","   0","   0","   0","   0","  65"," 160","   0","   0","   6","  82","   0","3122","   1","   0","   0","2620","   7","   0","   0"," 179","  16","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 214","  10","   0","  35","   0","   0","   0","  34","   0","   0","   0","   0","   2","   0","   0","   0","2953","   0","   0","4887","   0","   0","   0","   0","   5"," 110","   0","   0","   0","   0"
"SC249362-PC07578-H-08","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3589","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2109","3647","   0","   4","   0","   0","   0","5560","   0","   0","   0","   0","3156","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 451","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","1472","   0","   0","   0","   0","   0"
"SC249368-PC07578-C-10","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","2155","   1","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1374","4470","   0","   6","   0","   0","   0","6017","   0","   0","   0","   0","3866","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   2","   0"," 703","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","1386","   0","   0","   0","   0","   0"
"SC249387-PC07578-G-01","2148","   0","   0","   0","   0"," 535","   0","   0","   0","   0","   0","  31","   1","   0","   0","   0","2951","  11","  40"," 738","   0","   0","   0","   0","   0","  30","   0","  40","1109","   0","   0","   0","   0","   0","   0","  70","  50","   0","   0","  13"," 288","   3","3135"," 220","   0","   0","2469","  11","   0","   3"," 411","  19","   1","   0","   0","   0","   0","   0","   0","   0","   0","  15","   0"," 474","  14","  47"," 406","   2","   0","  10"," 127","   2","   0","   0","   1","   0","   2","  23","   0","2512","   0","   0","1843","   0","   0","   1","   2","   0","  93","   0","   0","   0","   0"
"SC249408","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","1145","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 709","4447","   0","   0","   0","   0","   0","6049","   0","   0","   0","   0","3210","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3486","   0","   0","   0","   4","   0","   0","   4","   0","   0","   0","   0"," 933","   0","   0","   0","   0","   0"
"SC249420-PC07578-H-07","  10","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   0","   0","1384","  28","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 865","4111","   0","   7","   0","   0","   0","6046","   0","   0","   0","   0","3847","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2867","   0","   0","   0","   5","   0","   0","   3","   0","   0","   0","   0"," 786","   0","   0","   0","   0","   0"
"SC249437","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2719","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1774","2233","   0","   1","   0","   0","   0","5818","   0","   0","   0","   0","1209","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1319","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","4923","   0","   0","   0","   0","   0"
"SC249439-PC07578-G-07"," 357","   0","   0","   0","   0"," 245","   0","   0","   0","   0","   0","   6","   0","   0","   0","  50","1109"," 411"," 765"," 233","   0","   0","   0","   0","   0","   4"," 164"," 309"," 538","   0","   0","   0","   0","   0","   0","  20","  19","   0","   0"," 948","1385","   0","1145","3021","   0","   0","1800","   2","   0","   0","  35"," 467","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  66","   2"," 393","1809","   0","   0","1214","  10","   0","   0","   0","   3","  14"," 138","1052","   0"," 305","   0","   0","1813","   0","   0","   0","   0","  68","  12","   0","   0","   0","   0"
"SC249443-PC07578-E-05"," 236","   0","   0","   0","   0","  56","   0","   0","   0","   0","   0","   3","   0","   0","   0"," 178","1118"," 506"," 666"," 453","   0","   0","   0","   0","   0","   9"," 260"," 235"," 517","   0","   0","   0","   0","   0","   0","   8","  36","   0","   0","2169","1647","   0"," 494","2739","   0","   3","2001","   1","   0","   0","  12"," 779","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  14","   0"," 308","1549","   0","   0","1666","   0","   0","   0","   6","   8","  52"," 169","1012","   0"," 441","   0","   0"," 415","   0","   0","   0","   0"," 136","  36","   0","   0","   0","   0"
"SC249451-PC07578-F-06","   1","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","4274","   1","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","2330","2062","   0","  31","   0","   0","   0","5353","   0","   0","   0","   0","1108","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1747","   0","   0","   0","  14","   0","   0","  33","   0","   0","   0","   0","3012","   0","   0","   0","   0","   0"
"SC253181-PC07578-G-05","   4","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   0","2065","   3","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1539","3093","   0","  15","   0","   0","   0","5975","   0","   0","   0","   1","4020","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1888","   0","   0","   0","  14","   0","   0","  12","   0","   0","   0","   0","1342","   0","   0","   0","   0","   0"
"SC253195-PC07578-E-07"," 603","   0","   0","   0","   0"," 541","   0","   2","   0","   0","   0","   0","   0","   0","   0","   1","2897"," 383"," 545","  45","   1","   0","   0","   0","   0","   2","  51"," 516"," 442","   0","   0","   0","   0","   0","   0","   5","   3","   0","   0"," 671","1745","   0"," 160","3168","   0","   0","2478","   1","   0","  13","  17"," 396","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","  29","   0"," 657","2287","   0","   0"," 568","   2","   0","   0","   0","   2","   1","  77","1216","   0","  95","   0","   0"," 295","   0","   0","   0","   0","   0","   3","  12","   4","   0","   0"
"SC253196-PC07578-F-07","  11","   0","   0","   0","   0","  13","   0","   0","   0","   0","   0","   0","   0","   0","   0","2982","  29","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1746","2820","   0","  14","   0","   0","   0","6299","   0","   0","   0","   0","2374","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","1583","   0","   0","   0","   0","   0","   0","  16","   0","   0","   0","   0","2096","   0","   0","   0","   0","   0"
"SC253202-PC07578-F-08","2004","   0","   0","   0","   0"," 463","   0","   0","   0","   0","   0","  24","   0","   0","   0","   7","1833","   0","  36","1170","   0","   0","   0","   0","   0","  45","   5","   0","1662","   0","   0","   0","   0","   0","   0","  42","  67","   0","   0","  11","  92","   0","3623","  14","   0","   2","2533","  10","   0","   6"," 601","  25","   0","   0","   0","   0","   0","   0","   0","   0","   2","   6","   0"," 366","  15","   0"," 191","   0","   0","   1"," 107","   0","   0","   0","   0","   4","   0","   0","   0","2983","   0","   0","1804","   0","   0","   2","   0","  10"," 126","   0","   0","   0","   0"
"SC261525-PC07578-D-10","2076","   0","   0","   0","   0","1669","   0","   0","   0","   0","   0","  33","   3","   0","   0"," 459","3127","   0","  69"," 455","   0","   0","   0","   0","   0","  22","  10","   0"," 556","   0","   0","   0","   0","   0","   0"," 248","  53","   0","   0"," 200","1198","   1","1628","   0","   0","   4","3404","  20","   0","   2"," 516"," 380","   0","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0"," 312","  28","   0"," 294","   0","   0","   0"," 184","   0","   0","   2","   0"," 228","   0","   0","   0","1046","   0","   0","1339","   0","   0","   4","   0"," 279","  57","   0","   0","   0","   0"
"SC261529-PC07578-F-10"," 733","   0","   0","   0","   0"," 310","   0","   0","   0","   0","   0","  38","   0","   0","   0"," 201"," 503","  74","  91","1683","   0","   0","   0","   0","   0","  41","  43","  64","1237","   0","   0","   0","   0","   0","   0","  42"," 152","   0","   0"," 268"," 448","   0","2593"," 694","   0","   1","2595","   4","   0","   0"," 158"," 231","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 145","   0","  73"," 293","   0","   0"," 258","  28","   0","   0","   3","   0","  63","  17"," 173","   0","2374","   0","   0","4126","   0","   0","   0","   0","  81","  83","   0","   0","   0","   0"
"SC304092","  34","   0","   0","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","2021","  91","   0","   1","  16","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1096","4184","   0","  78","   2","   0","   0","6346","   0","   0","   0","  14","3370","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","  10","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   0"," 450","   0","   0","   0","  55","   0","   0","  30","   0","   0","   0","   0","2137","   0","   0","   0","   0","   0"
"SC304093"," 165","   0","   0","   0","   0","  27","   0","   0","   0","   0","   0","   0","   0","   0","   0","  31","1808"," 361"," 509","  17","   0","   0","   0","   0","   0","   1","   4"," 624"," 392","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 526","2447","   0","  69","4573","   0","   0","2571","   0","   0","   0","  12","1082","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   9","   0","1173","2455","   0","   0"," 285","   2","   0","   0","   0","   1","  16"," 216"," 432","   0","  58","   0","   0","  67","   0","   0","   0","   0","  20","   2","   0","   0","   0","   0"
"SC304094","1798","   0","   0","   2","   0"," 404","   0","   0","   0","   0","   0","  23","   0","   1","   1","   7","2777","  27","  65"," 682","   4","   0","   0","   0","   0","  20","   2","  86","1016","   0","   0","   0","   2","   0","   0","  52","  46","   0","   0","  58"," 292","   0","3092"," 657","   0","   5","2209","   6","   0","   5"," 446"," 101","   0","   0","   0","   1","   0","   0","   1","   0","   0","   8","   0"," 384","  10","  97"," 416","   0","   0","  31","  54","   0","   1","   8","   0","   4","  13","  34","   0","1682","   3","   0","3128","   0","   0","   3","   2","  10"," 125","   0","   0","   0","   5"
"SC304097","   8","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","2295","  29","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","  10","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","1207","4263","   0","  26","   0","   0","   0","6393","   0","   0","   0","   3","2787","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   5","   0","   0","   0","   0","   0","   0","   0","   0"," 684","   0","   0","   0","  21","   0","   0","  19","   0","   0","   0","   0","2203","   1","   0","   0","   0","   0"
"SC304099","1992","   0","   1","   0","   0"," 793","   0","   0","   0","   0","   0","  35","   2","   0","   1","  37","3772","   0","  35"," 562","   1","   0","   0","   0","   0","  37","   8","   0"," 942","   0","   0","   0","   0","   0","   0","  68","  46","   0","   0","  17"," 118","   0","2996","   2","   0","   5","2476","   0","   0","  23"," 573","  54","   0","   0","   0","   0","   0","   0","   0","   0","   1","  13","   2"," 501","  15","   0"," 185","   0","   0","   0","  92","   4","   0","  14","   0","  14","   0","   0","   0","2588","   0","   1","1669","   0","   0","   0","   1","  26"," 138","  29","   2","   0","   0"
"SC304924-PC07578-A-11","   8","   0","   0","   0","   0","   7","   0","   0","   0","   0","   0","   0","   0","   0","   0","2964","  28","   0","   0","  44","   0","   0","   0","   0","   0","   0","   0","   0","  30","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 864","3713","   0","  57","   1","   0","   0","6276","   0","   0","   0","   5","3129","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   2","   0","   0","   0","   1","   0","   0","   0","   0"," 899","   0","   2","   0","  43","   0","   0","  74","   0","   0","   0","   0","1820","   3","   0","   0","   0","   0"
"SC304924-PC07578-B-07","  12","   0","   0","   0","   0","   9","   0","   0","   0","   0","   0","   0","   0","   0","   0","3467","  21","   0","   0","  22","   0","   0","   0","   0","   0","   0","   0","   0","  23","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1302","2830","   0","  61","   0","   0","   0","5137","   0","   0","   0","   4","2997","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0","2398","   0","   0","   0","  31","   0","   0","  54","   0","   0","   0","   0","1592","   2","   0","   0","   0","   0"
"SC304926"," 174","   0","   0","   0","   0","  12","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 296","1793"," 324"," 791","  13","   0","   0","   0","   0","   0","   0","  22"," 382"," 341","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 759","2206","   0","  45","3738","   0","   0","2688","   0","   0","   0","   4"," 946","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0"," 715","2481","   0","   0"," 886","   0","   0","   0","   0","   3","  78"," 243"," 789","   0","  18","   0","   0","  35","   0","   0","   0","   0"," 176","   2","   0","   0","   0","   0"
"SC304927","   1","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","3696","   2","   0","   0","   4","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1437","3477","   0","   9","   0","   0","   0","6365","   0","   0","   0","   2","2549","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 738","   0","   0","   0","   6","   0","   0","   7","   0","   0","   0","   0","1697","   0","   0","   0","   0","   0"
"SC304928","1322","   0","   1","   0","   3"," 593","   0","   0","   2","   0","   0","  27","   0","   0","   0"," 397","2808","   0","  20","1388","   0","   0","   0","   0","   0","  48","  23","   2","1000","   0","   0","   0","   0","   0","   0","  37"," 110","   0","   0"," 196"," 465","   3","2054","   1","   0","   0","2708","  10","   0","  25"," 309"," 283","   0","   0","   0","   0","   2","   0","   0","   1","   3","   3","   0"," 233","   7","   0","  88","   0","   0","   0","  50","   0","   0","   6","   0"," 119","   0","   0","   0","2628","   0","   0","2447","   0","   0","   1","   0"," 291"," 156","  16","   7","   0","   0"
"SC304934-PC07578-C-05","  13","   0","   0","   0","   0","   6","   0","   0","   0","   0","   0","   0","   0","   0","   0","3985","  25","   0","   0","  29","   0","   0","   0","   0","   0","   1","   0","   0","  20","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","1232","3211","   0","  68","   2","   0","   0","5546","   0","   0","   0","   5","2250","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   2","   0","   0","   0","   2","   0","   0","   0","   0","1653","   0","   0","   0","  33","   0","   0","  63","   0","   0","   0","   0","1820","   1","   0","   0","   0","   0"
"SC304934-PC07578-D-02","  16","   0","   0","   0","   0","   8","   0","   0","   0","   0","   0","   0","   0","   0","   0","3886","  27","   0","   1","  26","   0","   0","   0","   0","   0","   0","   0","   0","  25","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","1011","3630","   0","  70","   3","   0","   0","6035","   0","   0","   0","   5","2538","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0"," 808","   0","   0","   0","  51","   0","   0","  63","   0","   0","   0","   0","1763","   2","   0","   0","   0","   0"
"SC304936"," 197","   0","   0","   0","   0","  32","   0","   0","   0","   0","   0","   1","   0","   0","   0"," 114","1895"," 324"," 973","  37","   0","   0","   0","   0","   0","   0","  23"," 383"," 366","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0"," 741","2118","   0"," 103","4001","   0","   0","2608","   0","   0","   0","   7"," 640","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   6","   0"," 895","2368","   0","   0"," 890","   0","   0","   0","   0","   5","  25"," 194"," 783","   0","  48","   0","   0","  82","   0","   0","   0","   0","  87","   3","   0","   0","   0","   0"
"SC304937","   0","   0","   0","   0","   0","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","4087","  11","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   1","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1365","3386","   0","   9","   0","   0","   0","6005","   0","   0","   0","   4","2103","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","   0","   0","   0","   0","   0","   0","   0","   0"," 923","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2091","   0","   0","   0","   0","   0"
"SC304938","1569","   0","   0","   3","   5"," 615","   0","   0","   4","   0","   0","  28","   0","   0","   0"," 275","2798","   0","  34","1178","   0","   0","   0","   0","   0","  52","  20","   1","1145","   0","   0","   0","   0","   0","   0","  65","  95","   0","   0"," 120"," 345","   0","2592","   0","   0","   3","2698","  12","   0","  15"," 335"," 134","   3","   0","   0","   0","   5","   0","   0","   5","   0","   5","   1"," 303","   8","   0"," 109","   0","   0","   0","  47","   0","   0","   0","   0","  72","   1","   0","   6","2223","   0","   0","2517","   0","   0","   0","   0"," 244"," 182","  12","   6","   0","   0"
"SC502451","2142","   0","   0","   4","   0"," 171"," 146","   5","   0","   0","   0","  31","   0","   0","   0","   5","4924","   0","   0","2207","   0","  42","   2","   0","   0","   0"," 474","   0","1009","   0","  34","   0","   0","   0","   0","   0"," 214","   0","   0","   0","   9","   6","1708","   0","   3","   0","3580","   7","   0","   0"," 177","   0","   0","   0","   0","   0","   0","   0","   0","   0","   3","   0","   0"," 294","   0","   0","   0","   0","   0","   0","  74","   0","   0","   4","   0","   0","   0","   0","   0","1185","   8","   0","1093","   0","   0","   0","   0","   0"," 364","   0","   0","   0","   7"
"SC502452","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2983","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2549","3353","   0","   0","   0","   0","   0","5443","   0","   0","   0","   0","1085","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1520","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3063","   0","   0","   0","   0","   0"
"SC502454"," 218","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 129","1008"," 402","1446","   0","   0","   0","   3","   0","   0","   0"," 420"," 529"," 127","   0","   0","   0","   0","   0","   0","   0","   0","   0","   2","1763","4427","   0","   0","2214","   0","   0","1788","   0","   0","   0","   0"," 776","   0","   0","   0","   0","   0","   0","   0","   0","   4","   0","   0","   0","   0","1257","1245","   0","   2"," 781","   0","   0","   0","   0","   0","  14"," 258"," 960","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 211","   0","   0","   0","   0","   0"
"SC510683","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  516","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   56","    0","    0","    0","    0","    0","16942","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0"," 2461","    0","    0","    0","    8","    0","    0","    3","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0"
"SC510684","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  574","    7","    0","    0","   16","    0","    0","    0","    0","    0","    0","    0","    0","    6","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   83","    0","   10","    0","    0","    0","16071","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    5","    0"," 3186","    0","    0","    0","    4","    0","    0","   19","    0","    0","    0","    0","    0","    3","    0","    0","    0","    0"
"SC552948","3893","   0","   0","   0","   0","3318","  55","   7","   0","   3","   1","  21","   0","   0","   0","   9","3211","  76","  76"," 403","   0","   0","   0","   0","  12","  20","   5","   0"," 225","   0","   3","   0","   0","   0","   0"," 297","  48","   0","   0","  11","  40","  76","1682","   0","   0","   0","2748","   8","   0","  80","  95","   3","   0","   0","   0","   0","   0","   0","   0","   0","   0","  24","   0"," 364","   5","   0"," 173","   0","   0","   0","   5","   0","   0"," 205","   0","   3","   0","   0","   0"," 422","   0","   0","1980","   0","   0","   0","   2","  16","  83","  93","  61","   3","   4"
"SC552952","2199","   0","   0","   9","   0"," 466"," 184","   4","   0","   0","   0","  70","   9","   0","   0","   0","8056","   0","   8","1016","   0","   0","   0","   0","   0","   0","   0","   0"," 668","   0","  12","   0","   0","   0","   0","  12"," 157","   0","   0","   0","   8","   6","1424","   0","   0","   4","2549","   5","   0","   9"," 285","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 259","   3","   0","  26","   0","   0","   0"," 121","   0","   0","  22","   0","   0","   0","   0","   0","1180","   0","   0"," 958","   0","   0","   3","   1","   0"," 153","  11","  15","   0","   4"
"SC552954","2399","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0"," 740","   0"," 562","   0","   0","   0","   0","1225","  47","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","  12","   0"," 200","1067","   0","   0","   0","   0","1433"," 670","   1","3562","   0","   0","   0","   0","   0","   0","1269","   0","   0","   0","   0","   0","   0","2612","   0","   0","   0","   0","   0","   0","   0"," 945","   0","   0","   0","   0","1367","   0","   0","   0","   0","   0","  13"," 251","   0","   0","   0","  94","   0","   0","   0"," 311","   0","   0","   0","1207"
"SC552959","   12","    0","    0","    0","    0","    5","    0","    0","    0","    0","    0","    0","    0","    0","    0","  214","   57","    0","    0","   18","    0","    0","    0","    0","    0","    0","    1","    0","   18","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","   16","    0","   23","    0","    0","    0","18940","    0","    0","    0","    4","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","    0","  610","    0","    0","    0","   29","    0","    0","   33","    0","    0","    0","    0","    0","    2","    0","    0","    0","    0"
"SC552960","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","1690","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","3045","4782","   0","   0","   0","   0","   2","5339","   0","   0","   0","   0"," 887","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2145","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","   0","2106","   0","   0","   0","   0","   0"
